"lon","lat","probAge0","probAge1","probAge2","probAge3","time"
-90,-19.95,0,0,0,0,1
-89.85,-19.95,0,0,0,0,1
-89.7,-19.95,0,0,0,0,1
-89.55,-19.95,0,0,0,0,1
-89.4,-19.95,0,0,0,0,1
-89.25,-19.95,0,0,0,0,1
-89.1,-19.95,0,0,0,0,1
-88.95,-19.95,0,0,0,0,1
-88.8,-19.95,0,0,0,0,1
-88.65,-19.95,0,0,0,0,1
-88.5,-19.95,0,0,0,0,1
-88.35,-19.95,0,0,0,0,1
-88.2,-19.95,0,0,0,0,1
-88.05,-19.95,0,0,0,0,1
-87.9,-19.95,0,0,0,0,1
-87.75,-19.95,0,0,0,0,1
-87.6,-19.95,0,0,0,0,1
-87.45,-19.95,0,0,0,0,1
-87.3,-19.95,0,0,0,0,1
-87.15,-19.95,0,0,0,0,1
-87,-19.95,0,0,0,0,1
-86.85,-19.95,0,0,0,0,1
-86.7,-19.95,0,0,0,0,1
-86.55,-19.95,0,0,0,0,1
-86.4,-19.95,0,0,0,0,1
-86.25,-19.95,0,0,0,0,1
-86.1,-19.95,0,0,0,0,1
-85.95,-19.95,0,0,0,0,1
-85.8,-19.95,0,0,0,0,1
-85.65,-19.95,0,0,0,0,1
-85.5,-19.95,0,0,0,0,1
-85.35,-19.95,0,0,0,0,1
-85.2,-19.95,0,0,0,0,1
-85.05,-19.95,0,0,0,0,1
-84.9,-19.95,0,0,0,0,1
-84.75,-19.95,0,0,0,0,1
-84.6,-19.95,0,0,0,0,1
-84.45,-19.95,0,0,0,0,1
-84.3,-19.95,0,0,0,0,1
-84.15,-19.95,0,0,0,0,1
-84,-19.95,0,0,0,0,1
-83.85,-19.95,0,0,0,0,1
-83.7,-19.95,0,0,0,0,1
-83.55,-19.95,0,0,0,0,1
-83.4,-19.95,0,0,0,0,1
-83.25,-19.95,0,0,0,0,1
-83.1,-19.95,0,0,0,0,1
-82.95,-19.95,0,0,0,0,1
-82.8,-19.95,0,0,0,0,1
-82.65,-19.95,0,0,0,0,1
-82.5,-19.95,0,0,0,0,1
-82.35,-19.95,0,0,0,0,1
-82.2,-19.95,0,0,0,0,1
-82.05,-19.95,0,0,0,0,1
-81.9,-19.95,0,0,0,0,1
-81.75,-19.95,0,0,0,0,1
-81.6,-19.95,0,0,0,0,1
-81.45,-19.95,0,0,0,0,1
-81.3,-19.95,0,0,0,0,1
-81.15,-19.95,0,0,0,0,1
-81,-19.95,0,0,0,0,1
-80.85,-19.95,0,0,0,0,1
-80.7,-19.95,0,0,0,0,1
-80.55,-19.95,0,0,0,0,1
-80.4,-19.95,0,0,0,0,1
-80.25,-19.95,0,0,0,0,1
-80.1,-19.95,0,0,0,0,1
-79.95,-19.95,0,0,0,0,1
-79.8,-19.95,0,0,0,0,1
-79.65,-19.95,0,0,0,0,1
